"question","ground_truth","contexts","evolution_type"
"Giới hạn 72 giờ báo cáo sự cố quan trọng hơn báo cáo sau điều tra xong vì sao?","Báo cáo sớm cho phép cơ quan quản lý can thiệp kịp thời bảo vệ chủ thể dữ liệu trước khi thiệt hại lan rộng","[""To chuc xu ly du lieu co nghia vu bao cao trong vong 72 gio ke tu khi phat hien su co""]","reasoning"
"Thuế GTGT phải nộp 52 triệu phản ánh gì về hoạt động kinh doanh của DHA?","Doanh thu lớn hơn chi phí mua vào đáng kể (3.7 tỷ vs 2.4 tỷ); tạo ra giá trị gia tăng thực tế dương","[""Hàng hóa mua vào 2.405.743.241; Hàng hóa bán ra 3.703.688.610; Thuế phải nộp 52.133.830""]","reasoning"
"Hậu quả nào xảy ra nếu công ty khai sai thuế GTGT đầu vào?","Khai sai thuế đầu vào → khấu trừ sai → truy thu thuế + phạt theo pháp luật","[""Thuế GTGT khấu trừ kỳ này 215.163.767 [25]; Tôi cam đoan số liệu khai đúng và chịu trách nhiệm trước pháp luật""]","reasoning"
"Tại sao Nghị định 13/2023 yêu cầu đánh giá tác động trước khi chuyển dữ liệu ra nước ngoài?","Đánh giá tác động giúp xác định rủi ro bảo mật và pháp lý tại quốc gia nhận; bảo vệ quyền lợi chủ thể dữ liệu","[""Chuyen giao du lieu ca nhan ra nuoc ngoai can danh gia tac dong hop dong bien phap bao dam""]","reasoning"
"Doanh nghiệp chịu trách nhiệm gì khi xảy ra sự cố rò rỉ dữ liệu theo nguyên tắc minh bạch?","Phải báo cáo kịp thời trong 72 giờ và thông báo cho chủ thể dữ liệu về bản chất sự cố","[""Nguyen tac minh bach; To chuc xu ly du lieu co nghia vu bao cao su co trong vong 72 gio""]","reasoning"
"Tại sao điều chỉnh thuế GTGT [37] và [38] đều bằng 0 trong kỳ?","Không có sai sót trong kê khai kỳ trước cần điều chỉnh; đây là tờ khai lần đầu của kỳ Q4/2024","[""Điều chỉnh giảm [37] 0; Điều chỉnh tăng [38] 0; [02] Lần đầu: [x]""]","reasoning"
"Nếu doanh nghiệp không có chữ ký điện tử hợp lệ thì tờ khai có giá trị pháp lý không?","Không; chữ ký điện tử bắt buộc để xác thực tờ khai điện tử; thiếu chữ ký khiến tờ khai không hợp lệ","[""Ký điện tử bởi: TRỊNH THỊ SANG; Ngày 24 tháng 01 năm 2025""]","reasoning"
"Công ty có nghĩa vụ bảo vệ dữ liệu như thế nào khi xử lý dữ liệu khách hàng trong kinh doanh?","Phải tuân thủ: hợp pháp; minh bạch; mục đích cụ thể; thu thập có đồng ý; bảo mật; báo cáo sự cố trong 72 giờ","[""Nguyen tac xu ly: hop phap minh bach muc dich cu the; su dong y; bao cao su co 72 gio""]","reasoning"
"So sánh tỷ lệ thuế GTGT đầu ra và đầu vào của DHA trong Q4/2024","Thuế đầu ra 344.675.400 đồng (10% trên 3.703.685.610); thuế đầu vào 215.163.767 đồng; tỷ lệ đầu ra/đầu vào ≈ 1.60 phản ánh giá trị gia tăng dương","[""Thuế GTGT hàng bán ra 344.675.400 [35]; Thuế GTGT đầu vào khấu trừ 215.163.767 [25]""]","multi_context"
"Nghĩa vụ của DHA vừa là người nộp thuế vừa là tổ chức xử lý dữ liệu cá nhân","Nghĩa vụ thuế: kê khai và nộp 52.133.830 đồng GTGT. Nghĩa vụ dữ liệu: tuân thủ Nghị định 13/2023 về minh bạch; đồng ý; báo cáo sự cố","[""[05] Mã số thuế 0106769437; [40] Thuế phải nộp 52.133.830; Nguyen tac xu ly du lieu: hop phap minh bach""]","multi_context"
"Hai nghĩa vụ phải thực hiện đồng thời nếu DHA bị rò rỉ dữ liệu khi nộp tờ khai điện tử","Báo cáo sự cố rò rỉ trong 72 giờ theo Nghị định 13/2023 và hoàn thành nộp 52.133.830 đồng thuế GTGT đúng hạn","[""Thuế GTGT phải nộp [40] 52.133.830; To chuc xu ly du lieu co nghia vu bao cao su co trong vong 72 gio""]","multi_context"
"Quy trình nào cần theo nếu DHA muốn chia sẻ dữ liệu tài chính với đối tác nước ngoài?","Tuân thủ Nghị định 13/2023: đánh giá tác động; ký hợp đồng; áp dụng biện pháp bảo đảm; đồng thời đảm bảo dữ liệu tài chính không lộ ngoài mục đích","[""Chuyen giao du lieu ra nuoc ngoai can danh gia tac dong hop dong; [05] Mã số thuế 0106769437""]","multi_context"
"Sự minh bạch trong xử lý dữ liệu và kê khai thuế có điểm chung nào?","Cả hai yêu cầu trung thực; khai báo đầy đủ; chịu trách nhiệm pháp lý: tờ khai cam đoan số liệu đúng; Nghị định 13 yêu cầu thông báo minh bạch mục đích","[""Tôi cam đoan số liệu khai đúng và chịu trách nhiệm trước pháp luật; Nguyen tac xu ly phai minh bach""]","multi_context"
"Mối liên hệ giữa mã số thuế 0106769437 và dữ liệu cá nhân theo Nghị định 13/2023?","Mã số thuế là định danh doanh nghiệp; nếu liên kết đến cá nhân chủ doanh nghiệp thì trở thành dữ liệu cá nhân cần bảo vệ","[""[05] Mã số thuế 0106769437; Du lieu ca nhan la thong tin giup xac dinh mot con nguoi""]","multi_context"
"Điều gì xảy ra nếu DHA không tuân thủ cả nghĩa vụ thuế và bảo vệ dữ liệu?","Về thuế: bị phạt chậm nộp và truy thu. Về dữ liệu: vi phạm Nghị định 13/2023 bị xử phạt hành chính và yêu cầu khắc phục","[""Cam đoan số liệu đúng chịu trách nhiệm trước pháp luật; To chuc xu ly du lieu co nghia vu bao cao su co""]","multi_context"
"Kỳ tính thuế Q4/2024 trùng với giai đoạn nào trong vòng đời quản lý dữ liệu?","Q4/2024 là giai đoạn thu thập và xử lý dữ liệu cuối năm; cần đảm bảo đồng thời lưu trữ dữ liệu an toàn và kê khai thuế chính xác","[""[016] Kỳ tính thuế Quý 4 năm 2024; Nguyen tac gioi han luu tru; muc dich cu the""]","multi_context"
"Công ty ký điện tử tờ khai — quy trình này liên quan đến bảo vệ dữ liệu cá nhân thế nào?","Chữ ký điện tử của bà Trịnh Thị Sang là dữ liệu cá nhân cần bảo vệ; đồng thời tờ khai có thể chứa dữ liệu cá nhân của khách hàng","[""Ký điện tử bởi TRỊNH THỊ SANG; Du lieu ca nhan la thong tin gan lien voi mot con nguoi""]","multi_context"
"Tổng nghĩa vụ tài chính và chi phí bảo vệ dữ liệu của DHA trong Q4/2024 là gì?","Thuế GTGT: 52.133.830 đồng. Chi phí bảo vệ dữ liệu: đánh giá tác động; biện pháp bảo đảm; hệ thống báo cáo sự cố","[""Thuế GTGT phải nộp [40] 52.133.830; Chuyen giao du lieu ra nuoc ngoai can danh gia tac dong bien phap bao dam""]","multi_context"
"Nếu tỷ lệ thuế GTGT tăng gấp đôi kỳ sau thì DHA cần điều chỉnh quản lý dữ liệu như thế nào?","Tăng thuế → tăng giao dịch → tăng lượng dữ liệu xử lý → cần nâng cấp hệ thống bảo vệ và mở rộng phạm vi đánh giá tác động theo Nghị định 13","[""Thuế phải nộp 52.133.830; Nguyen tac xu ly: muc dich cu the; Chuyen giao du lieu can danh gia tac dong""]","multi_context"
"Phân tích cách thức ký điện tử tờ khai ngày 24/01/2025 liên quan đến cả nghĩa vụ thuế và dữ liệu","Ký điện tử 24/01/2025 xác nhận nghĩa vụ thuế Q4/2024; chữ ký số là dữ liệu cá nhân cần bảo vệ; quá trình ký cần đảm bảo bảo mật theo Nghị định 13","[""Ngày 24 tháng 01 năm 2025; TRỊNH THỊ SANG; Du lieu ca nhan la thong tin giup xac dinh mot con nguoi""]","multi_context"
"Tổng kết nghĩa vụ pháp lý của DHA Surfaces Q4/2024 về tài chính và dữ liệu cá nhân","Tài chính: nộp thuế GTGT 52.133.830 đồng theo mẫu 01/GTGT. Dữ liệu: tuân thủ Nghị định 13/2023 gồm thông báo mục đích; đảm bảo đồng ý; bảo mật; báo cáo sự cố trong 72 giờ","[""Thuế GTGT phải nộp [40] 52.133.830; Nguyen tac xu ly du lieu: hop phap minh bach; bao cao su co 72 gio""]","multi_context"
